cogs_pct_growth,revenue_growth,gross_profit_growth,gross_profit_pct_growth,ebitda_growth,ebitda_pct_growth,ebit_growth,ebit_pct_growth,pre_tax_income_growth,pre_tax_income_pct_growth,net_income_growth,net_income_pct_growth,dividends_per_share,shares_outstanding_basic,total_assets,total_liabilities,shareholders_equity,retained_earnings,tangible_shareholders_equity,total_assets_growth,total_liabilities_growth,shareholders_equity_growth,retained_earnings_growth,tangible_shareholders_equity_growth,cash_from_operations,cash_from_investing,cash_from_financing,free_cashflow,free_cashflow_per_share_diluted,cash_from_operations_growth,cash_from_investing_growth,cash_from_financing_growth,free_cashflow_growth,free_cashflow_per_share_diluted_growth,roe,roe_growth,roic,roic_growth,roce,roce_growth,debt_to_equity,debt_to_equity_growth,leverage,leverage_growth,current_ratio,current_ratio_growth,acid_test,acid_test_growth,days_in_inventory,days_in_inventory_growth,inventory_turns,inventory_turns_growth,days_sales_outstanding,days_sales_outstanding_growth,days_payable_outstanding,days_payable_outstanding_growth,ppe_turnover,ppe_turnover_growth,total_asset_turnover,total_asset_turnover_growth,score
0.84,12.0,7.69,-3.95,29.0,15.0,31.2,17.17,-4.54,-14.8,37.34,22.73,0.09,344100000.0,6081500000.0,4689600000.0,1391900000.0,1082900000.0,-1942100000.0,-4.97,-6.25,-0.39,4.5,-11.73,390400000.0,-100200000.0,-273600000.0,272100000.0,0.78,-3.84,-96.89,-109.53,-15.76,-81.9,0.26,36.84,0.2,42.86,0.17,30.77,3.37,-5.87,0.53,-1.85,1.47,3.52,0.83,0.0,60.21,-8.36,6.06,8.99,52.95,-17.24,40.92,-9.81,15.17,6.16,1.13,17.71,0.15
4.36,-23.6,-39.89,-21.18,-61.0,-48.55,-72.6,-63.79,-391.78,-482.11,-715.37,-898.15,0.19,76500000.0,4768000000.0,4251700000.0,516300000.0,-30800000.0,-1528800000.0,-21.6,-9.34,-62.91,-102.84,-21.28,898900000.0,-56100000.0,-408100000.0,837300000.0,10.95,130.25,-44.01,49.16,207.72,1303.85,-4.39,-1788.46,0.09,-55.0,0.07,-58.82,8.23,144.21,0.54,1.89,1.29,-12.24,0.82,-1.2,63.35,5.22,5.76,-4.95,39.17,-26.02,44.59,8.97,12.81,-15.56,1.1,-2.65,0.16
1.68,8.8,2.98,-5.04,43.9,31.37,60.4,45.45,1560.0,1406.25,-91.92,-92.45,0.06,62200000.0,706700000.0,532000000.0,174700000.0,36400000.0,-97700000.0,-7.56,-2.13,-20.91,-28.06,-43.82,14100000.0,-11600000.0,-45500000.0,600000.0,0.01,-50.87,-89.23,-138.49,-96.55,-96.67,-0.08,-90.0,0.09,80.0,0.06,50.0,3.05,23.98,0.54,25.58,1.81,29.29,1.12,33.33,71.38,-21.15,5.11,26.8,55.65,-3.85,33.88,-16.35,11.48,14.57,0.97,16.87,0.11
-2.33,-50.0,-44.6,11.24,-61.1,-21.74,-68.6,-37.65,-70.25,-40.46,-72.37,-44.23,0.13,32700000.0,293300000.0,112800000.0,180500000.0,113100000.0,150600000.0,12.33,24.64,5.8,7.0,-10.46,34400000.0,-47800000.0,14600000.0,28800000.0,0.88,-41.3,195.06,-136.5,-31.91,-31.78,0.07,-72.0,0.1,-72.97,0.1,-72.97,0.62,16.98,0.16,128.57,2.84,7.98,1.36,-5.56,106.97,127.89,3.41,-56.17,40.11,18.67,21.66,83.25,5.28,-56.97,1.4,-55.41,0.01
5.57,17.4,-9.26,-22.73,-23.3,-34.72,-46.1,-54.72,-49.01,-56.59,-65.25,-68.97,0.1,33000000.0,241700000.0,58800000.0,183000000.0,113900000.0,153600000.0,-17.59,-47.87,1.39,0.71,1.99,38100000.0,4300000.0,-45200000.0,34300000.0,1.03,10.76,-109.0,-409.59,19.1,17.05,0.02,-71.43,0.06,-40.0,0.06,-40.0,0.32,-48.39,0.07,-56.25,3.36,18.31,1.91,40.44,53.96,-49.56,6.76,98.24,39.86,-0.62,16.13,-25.53,6.74,27.65,1.99,42.14,-0.11
0.79,-11.4,-15.24,-4.58,-49.6,-42.55,-88.7,-87.5,-87.38,-85.51,-80.49,-77.78,0.1,33400000.0,248600000.0,65800000.0,182800000.0,111400000.0,150100000.0,2.85,11.9,-0.11,-2.19,-2.28,30100000.0,-9200000.0,-3800000.0,24900000.0,0.74,-21.0,-313.95,-91.59,-27.41,-28.16,0.0,-100.0,0.01,-83.33,0.01,-83.33,0.36,12.5,0.06,-14.29,2.96,-11.9,1.63,-14.66,67.24,24.61,5.43,-19.67,34.27,-14.02,21.68,34.41,6.51,-3.41,1.71,-14.07,0.06
0.82,-3.7,-8.43,-4.86,-73.7,-72.0,-91.5,-90.0,-152.66,-154.42,-114.71,-113.33,0.25,36900000.0,962300000.0,516000000.0,446300000.0,290500000.0,443900000.0,8.16,18.51,-1.76,-5.65,-1.57,75400000.0,-12000000.0,-11100000.0,63300000.0,1.72,309.78,-2.44,1485.71,937.7,975.0,-0.02,-116.67,0.01,-93.75,0.01,-93.75,1.16,20.83,0.03,0.0,1.73,-6.99,0.99,3.12,43.82,1.6,8.33,-1.54,31.31,17.35,48.37,24.06,56.26,8.07,3.68,-11.11,0.36
12.06,-21.2,-28.73,-9.48,-52.0,-39.06,-64.1,-53.85,-64.85,-55.36,-63.39,-53.03,0.7,27000000.0,150400000.0,75400000.0,75000000.0,64900000.0,75000000.0,0.27,0.53,0.0,-9.86,0.0,47300000.0,2900000.0,-23000000.0,39300000.0,1.44,-29.3,-129.0,-66.47,-16.91,-12.73,0.16,-64.44,0.18,-64.71,0.17,-64.58,1.01,1.0,0.23,-4.17,2.87,0.35,2.1,-1.87,57.95,24.36,6.3,-19.54,10.19,53.0,59.97,39.92,13.47,-9.29,2.67,-21.47,0.38
-1.06,6.5,15.22,8.62,21.5,13.64,23.1,15.0,23.44,15.38,25.22,16.67,0.4,26700000.0,468000000.0,194500000.0,273500000.0,182300000.0,221100000.0,11.19,19.11,6.17,11.09,6.4,-5300000.0,-16000000.0,-9400000.0,-16100000.0,-0.6,488.89,122.22,224.14,123.61,122.22,0.11,22.22,0.17,13.33,0.17,21.43,0.71,12.7,0.03,0.0,2.15,-8.51,1.72,-7.53,15.37,-1.16,23.75,1.19,51.23,16.43,25.99,8.38,93.07,-36.36,4.49,-4.26,0.11
-1.57,7.6,13.76,5.58,4.4,-2.7,2.4,-5.08,2.77,-4.54,3.98,-2.94,280000.0,4465000000.0,83527000000.0,46014000000.0,37513000000.0,34441000000.0,28947000000.0,6.91,3.16,11.89,14.16,-13.66,10483000000.0,-14357000000.0,-2978000000.0,2198000000.0,0.49,9.15,64.76,573.76,40.72,40.0,0.18,-10.0,0.21,-8.7,0.21,-8.7,1.23,-7.52,0.22,10.0,1.02,10.87,0.19,5.56,51.88,-0.4,7.04,0.43,3.55,5.34,35.83,-2.26,4.5,-3.64,2.46,0.41,0.19
-0.4,12.5,14.02,1.32,12.5,0.0,14.8,1.79,18.97,5.74,20.4,6.06,300000.0,4430000000.0,94808000000.0,52116000000.0,42692000000.0,37576000000.0,33303000000.0,13.51,13.26,13.81,9.1,15.05,12923000000.0,-19595000000.0,-2370000000.0,3678000000.0,0.83,23.28,36.48,-20.42,67.33,69.39,0.19,5.56,0.21,0.0,0.21,0.0,1.22,-0.81,0.21,-4.55,0.94,-7.84,0.19,0.0,49.95,-3.72,7.31,3.84,2.47,-30.42,34.45,-3.85,4.51,0.22,2.44,-0.81,0.36
